prediction:tensor([[1.5205, 1.2598]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[-0.0792,  2.4121]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[ 4.6016, -2.0879]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[-0.5200,  3.3262]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[0.9028, 1.4473]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[ 4.6367, -1.9189]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[1.8457, 0.4360]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[0.3770, 2.3184]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[ 3.2383, -0.6777]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[1.3428, 0.9023]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[ 3.4492, -0.8833]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[0.0174, 2.6094]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[ 4.9375, -2.1934]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[ 3.9219, -2.3184]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[ 3.6875, -1.2217]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[ 4.3320, -1.8086]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[-0.6211,  3.1074]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[2.3613, 0.2028]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[ 2.2461, -0.1041]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[0.9282, 1.8848]], device='cuda:0', dtype=torch.float16),predicted_class:1 incorrect
prediction:tensor([[2.5508, 0.0291]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[1.5176, 0.8086]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[ 3.6934, -1.5029]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[1.5225, 0.5703]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[ 2.3027, -0.1906]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[0.9556, 1.2256]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[ 3.3574, -0.5854]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[-0.2119,  2.8926]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[2.0352, 0.5054]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[ 3.6953, -1.6895]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[-0.0071,  2.5859]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[-0.8184,  3.0840]], device='cuda:0', dtype=torch.float16),predicted_class:1 incorrect
prediction:tensor([[ 2.8789, -0.8354]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[-1.4385,  4.0469]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[1.7295, 0.7378]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[-0.8901,  3.3516]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[ 3.5566, -1.9062]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[1.8701, 0.7729]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[1.2344, 1.0469]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[2.0898, 0.5981]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[2.3340, 0.3359]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[ 3.4473, -1.1064]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[ 2.5254, -0.2803]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[-0.1628,  3.0938]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[-2.0176,  4.5742]], device='cuda:0', dtype=torch.float16),predicted_class:1 incorrect
prediction:tensor([[ 2.9219, -0.5552]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[1.1807, 0.5010]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[ 5.0078, -2.4980]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[2.6660, 0.0471]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[2.2637, 0.2527]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[1.2979, 0.0586]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[-0.6396,  3.1426]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[ 2.6699, -0.1741]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[ 3.9551, -1.4189]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[ 3.2500, -0.4915]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[ 3.8008, -1.5068]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[0.9619, 1.5703]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[1.5088, 1.0713]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[2.1699, 0.2756]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[-0.6162,  2.8516]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[ 4.5117, -2.2676]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[ 3.5059, -0.9790]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[2.3555, 0.3633]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[0.0080, 2.7402]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[ 2.4922, -0.1907]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[1.4492, 1.3379]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[1.9609, 0.4321]], device='cuda:0', dtype=torch.float16),predicted_class:0 incorrect
prediction:tensor([[ 4.2422, -1.8076]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[0.4177, 1.8730]], device='cuda:0', dtype=torch.float16),predicted_class:1 correct
prediction:tensor([[ 3.8516, -1.2422]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
prediction:tensor([[ 2.9004, -0.5986]], device='cuda:0', dtype=torch.float16),predicted_class:0 correct
total:71	correct:54	accracy:0.7605633802816901
